phase,exp_id,dataset,num_classes,stage1_epochs,stage2_epochs,condition,attack_type,defense_name,defense_alpha,defense_tau,defense_burn_in,defense_noise_std,manual_seed,stage1_train_top1,stage1_test_top1,stage1_test_topk,mc_best_train_top1,mc_final_test_top1,mc_vs_benign_pp,mc_vs_attack_pp,vfl_utility_cost_pp,n_labeled,notes
Phase 7 Competitor MC (30ep),EXP-014,CIFAR10,10,30,25,benign+laplace_dp,none,LaplaceDP_scale0.001,,,,,0,,56.45%,,10.01%,,,40,Laplace DP as privacy defense — near-random; utility preserved (56.45% VFL)
Phase 8 Ablation MC (100ep),EXP-015,CIFAR10,10,100,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,0.5,0.10,8,,0,,81.09%,96.38% (k=4),94.57%,,+7.34pp,-0.85pp,-0.36pp vs benign VFL,40,Too weak — nearly identical to undefended ❌
Phase 8 Ablation MC (100ep),EXP-015,CIFAR10,10,100,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,2.0,0.10,8,,0,,79.55%,96.51% (k=4),76.79%,,-10.44pp,-18.63pp,-1.90pp vs benign VFL,40,Strongest suppression ✅✅ — 10.44pp below benign
Phase 8 Ablation MC (100ep),EXP-015,CIFAR10,10,100,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,1.0,0.05,8,,0,,78.23%,96.41% (k=4),81.58%,,-5.65pp,-13.84pp,-3.22pp vs benign VFL,40,Earlier detection — stronger suppression ✅
Phase 8 Ablation MC (100ep),EXP-015,CIFAR10,10,100,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,1.0,0.15,8,,0,,78.94%,96.82% (k=4),85.98%,,-1.25pp,-9.44pp,-2.51pp vs benign VFL,40,Later detection — weaker but still below benign ✅ (marginal)
Phase 6B Seed Sweep (100ep),EXP-016,CIFAR10,10,100,25,benign,none,none,,,,,42,,,,81.90%,,baseline,baseline,,40,Multi-seed benign ref seed-42
Phase 6B Seed Sweep (100ep),EXP-016,CIFAR10,10,100,25,active_party_a,MaliciousSGD,none,,,,,42,,,,94.32%,,+12.42pp,baseline,,40,Multi-seed attack seed-42
Phase 6B Seed Sweep (100ep),EXP-016,CIFAR10,10,100,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,1.0,0.10,8,,42,,,,80.16%,,-1.74pp,-14.16pp,,40,Defended below benign ✅ seed-42
Phase 6B Seed Sweep (100ep),EXP-016,CIFAR10,10,100,25,benign,none,none,,,,,123,,,,80.78%,,baseline,baseline,,40,Multi-seed benign ref seed-123
Phase 6B Seed Sweep (100ep),EXP-016,CIFAR10,10,100,25,active_party_a,MaliciousSGD,none,,,,,123,,,,95.33%,,+14.55pp,baseline,,40,Multi-seed attack seed-123
Phase 6B Seed Sweep (100ep),EXP-016,CIFAR10,10,100,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,1.0,0.10,8,,123,,,,80.61%,,-0.17pp,-14.72pp,,40,Defended below benign ✅ seed-123 (narrowest margin)
Phase 6B Seed Sweep (100ep),EXP-016,CIFAR10,10,100,25,benign,none,none,,,,,456,,,,82.53%,,baseline,baseline,,40,Multi-seed benign ref seed-456
Phase 6B Seed Sweep (100ep),EXP-016,CIFAR10,10,100,25,active_party_a,MaliciousSGD,none,,,,,456,,,,94.73%,,+12.20pp,baseline,,40,Multi-seed attack seed-456
Phase 6B Seed Sweep (100ep),EXP-016,CIFAR10,10,100,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,1.0,0.10,8,,456,,,,82.14%,,-0.39pp,-12.59pp,,40,Defended below benign ✅ seed-456
Phase 6B Seed Sweep (100ep),EXP-016,CIFAR10,10,100,25,MEAN_4seeds,MaliciousSGD/none,AsymmetricAdaptivePerturbation,1.0,0.10,8,,all,,,,,83.11%±2.84%,94.95%±0.52%,81.80%±1.85%,-1.32pp (mean),-13.15pp (mean),,40,4/4 seeds defended < benign. PUBLISHABLE MULTI-SEED RESULT ✅
Phase 11a Asymmetry Check (100ep),EXP-017,CIFAR10,10,100,25,benign+defense,none,AsymmetricAdaptivePerturbation,1.0,0.10,8,,0,,,,84.35%,66.48%,+1.24pp vs mean (within variance),,0pp (defense dormant),40,Defense dormant on benign CIFAR-10 at 100ep — divergence never exceeded tau=0.10
Phase 12 Sign-flip (100ep),EXP-023,CIFAR10,10,100,25,active+sign_flip,MaliciousSGD,AsymmetricAdaptivePerturbation+SignFlip,1.0,0.10,8,,0,,,,86.40%,,+3.29pp above benign ❌,-8.55pp,,40,Sign-flip FAILS — above benign. Weaker than standard defense (81.80% mean). Do not use.
